origin,destination,busline,class
55,76,ITAPEMIRIM,CONV C/ AR
55,76,REAL EXPRESSO,EXECUTIVO
55,76,REAL EXPRESSO,CONVENCIONAL
76,55,REAL EXPRESSO,EXECUTIVO
76,55,REAL EXPRESSO,CONVENCIONAL
1,55,COMETA,CONV
1,55,COMETA,CONV
1,55,COMETA,CONV
1,55,COMETA,GTV EX.
1,55,COMETA,GTV 1.CLS
1,55,COMETA,CONV
1,55,COMETA,CONV
1,55,COMETA,CONV
1,55,COMETA,GTV EX.
1,55,COMETA,GTV 1.CLS
1,55,COMETA,CONV
1,55,COMETA,CONV.S
1,55,COMETA,CONV
1,55,COMETA,LEITO
1,55,COMETA,CONV
1,55,COMETA,GTV EX.
1,55,COMETA,GTV 1.CLS
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,SEMI LEITO
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,EXECUTIVO
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,CONV C/ AR
1,55,ITAPEMIRIM,LEITO-CAMA
1,55,ITAPEMIRIM,LEITO
1,55,ITAPEMIRIM,CONV C/ AR
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
3,1,COMETA,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
5,1,COMETA,CONV
5,1,RAPIDO RIBEIRAO,CONV
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,CONV AR
13,1,COMETA,GTV EX.
13,1,COMETA,GTV 1.CLS
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,SEMI LEITO
55,1,ITAPEMIRIM,EXECUTIVO
55,1,ITAPEMIRIM,LEITO
55,1,ITAPEMIRIM,LEITO-CAMA
55,1,ITAPEMIRIM,CONV C/ AR
55,1,ITAPEMIRIM,CONV C/ AR
57,1,1001,CONV C/AR
57,1,1001,LEITO
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,CONV C/AR
57,1,1001,LEITO DD
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,CONV C/AR
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,CONV C/AR
57,1,1001,LEITO DD
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,CONV C/AR
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,1001,LEITO
57,1,1001,LEITO DD
57,1,1001,EXECUTIVO DD
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,SEMI LEITO
57,1,ITAPEMIRIM,SEMI LEITO
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,SEMI LEITO
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,SEMI LEITO
57,1,ITAPEMIRIM,CONV C/ AR
57,1,ITAPEMIRIM,LEITO-CAMA
57,1,ITAPEMIRIM,LEITO
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,EXECUTIVO
57,1,EXPRESSO BRASILEIRO,1CLASSE LEIT
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,EXECUTIVO
57,1,EXPRESSO BRASILEIRO,1CLASSE LEIT
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,EXECUTIVO
57,1,EXPRESSO BRASILEIRO,1CLASSE LEIT
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,EXECUTIVO
57,1,EXPRESSO BRASILEIRO,1CLASSE LEIT
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,CONVENCIONAL
57,1,EXPRESSO BRASILEIRO,LEITO CAMA
68,1,CATARINENSE,CONV. AR+WC
68,1,CATARINENSE,EXECUTIVO
68,1,CATARINENSE,EXECUTIVO DD
68,1,CATARINENSE,LEITO DD
68,1,CATARINENSE,CONV DD
68,1,CATARINENSE,LEITO DD
68,1,CATARINENSE,EXECUTIVO DD
68,1,CATARINENSE,LEITO DD
68,1,CATARINENSE,EXECUTIVO DD
68,1,CATARINENSE,LEITO DD
68,1,CATARINENSE,CONV DD
68,1,CATARINENSE,LEITO DD
68,1,1001,CONV C/AR
68,1,1001,CONV C/AR
84,1,SALUTARIS,CONVENCIONAL
85,1,1001,CONV C/AR
85,1,ITAPEMIRIM,CONV C/ AR
105,1,CATARINENSE,CONV. AR+WC
105,1,CATARINENSE,EXECUTIVO
105,1,CATARINENSE,EXECUTIVO DD
105,1,CATARINENSE,LEITO DD
105,1,CATARINENSE,CONV DD
105,1,CATARINENSE,LEITO DD
105,1,CATARINENSE,CONV. AR+WC
105,1,CATARINENSE,EXECUTIVO DD
105,1,CATARINENSE,LEITO DD
105,1,CATARINENSE,CONV DD
105,1,CATARINENSE,LEITO DD
105,1,1001,CONV C/AR
105,1,1001,CONV C/AR
105,1,ITAPEMIRIM,SEMI LEITO
105,1,ITAPEMIRIM,SEMI LEITO
105,1,PLUMA,CONVENCIONAL
105,1,PLUMA,LEITO
114,1,CATARINENSE,LEITO
114,1,CATARINENSE,EXECUTIVO
129,1,1001,LEITO DS
129,1,1001,CONV DS
129,1,1001,CONV DS
129,1,1001,LEITO DS
137,1,1001,CONV C/AR
137,1,1001,CONV C/AR
137,1,1001,ESPECIAL
140,1,ITAPEMIRIM,LEITO
140,1,ITAPEMIRIM,LEITO-CAMA
140,1,ITAPEMIRIM,CONV C/ AR
184,1,PLUMA,CONVENCIONAL
184,1,PLUMA,CONVENCIONAL
184,1,PLUMA,CONVENCIONAL
189,1,ITAPEMIRIM,CONV C/ AR
189,1,ITAPEMIRIM,CONV C/ AR
189,1,ITAPEMIRIM,CONV C/ AR
189,1,ITAPEMIRIM,CONV C/ AR
189,1,ITAPEMIRIM,EXECUTIVO
220,1,CATARINENSE,CONV. AR+WC
220,1,CATARINENSE,EXECUTIVO
220,1,CATARINENSE,CONV. AR+WC
220,1,CATARINENSE,EXECUTIVO DD
220,1,CATARINENSE,LEITO DD
220,1,CATARINENSE,CONV. AR+WC
220,1,CATARINENSE,EXECUTIVO DD
220,1,CATARINENSE,LEITO DD
220,1,1001,CONV C/AR
220,1,1001,CONV C/AR
221,1,CATARINENSE,CONV. AR+WC
221,1,CATARINENSE,LEITO DD
232,1,ITAPEMIRIM,CONV C/ AR
232,1,ITAPEMIRIM,LEITO-CAMA
232,1,ITAPEMIRIM,LEITO
258,1,1001,LEITO DS
258,1,1001,EXECUTIVO DS
258,1,1001,CONV C/AR
258,1,1001,CONV C/AR
258,1,1001,LEITO DS
258,1,1001,EXECUTIVO DS
258,1,1001,LEITO DS
258,1,1001,CONV DS
258,1,1001,CONV C/AR
258,1,1001,CONV C/AR
258,1,1001,EXECUTIVO
258,1,1001,CONV C/AR
258,1,1001,LEITO
304,1,ITAPEMIRIM,CONV C/ AR
304,1,ITAPEMIRIM,LEITO-CAMA
304,1,ITAPEMIRIM,LEITO
402,1,RAPIDO FEDERAL,CONVENCIONAL
402,1,REAL EXPRESSO,EXECUTIVO
402,1,REAL EXPRESSO,CONVENCIONAL
402,1,REAL EXPRESSO,CONVENCIONAL
402,1,REAL EXPRESSO,CONVENCIONAL
402,1,RAPIDO FEDERAL,LEITO
450,1,ITAPEMIRIM,SEMI LEITO
450,1,ITAPEMIRIM,CONV C/ AR
463,1,REAL EXPRESSO,CONVENCIONAL
463,1,REAL EXPRESSO,EXECUTIVO
463,1,REAL EXPRESSO,CONVENCIONAL
463,1,REAL EXPRESSO,CONVENCIONAL
463,1,REAL EXPRESSO,EXECUTIVO
463,1,REAL EXPRESSO,LEITO
1006,1,ITAPEMIRIM,CONV C/ AR
1653,1,AGUIA BRANCA,CONVENCIONAL
1653,1,AGUIA BRANCA,DOUBLE LEITO
1653,1,AGUIA BRANCA,DOUBLE PLUS
1653,1,ITAPEMIRIM,CONV C/ AR
1653,1,ITAPEMIRIM,SEMI LEITO
2652,1,GARDENIA,COMERCIAL
2652,1,GARDENIA,COMERCIAL
2652,1,GARDENIA,COMERCIAL
2652,1,GARDENIA,COMERCIAL
2652,1,UTIL,CON
2652,1,UTIL,CON
3348,1,SALUTARIS,CONVENCIONAL
3348,1,SALUTARIS,CONVENCIONAL
3348,1,SALUTARIS,CONVENCIONAL
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
3,2,COMETA,LITOR
5,2,COMETA,LITOR
45,2,COMETA,LITOR
55,2,CATARINENSE,CONV. AR+WC
55,2,CATARINENSE,CONV. AR+WC
55,2,CATARINENSE,CONV. AR+WC
55,2,CATARINENSE,EXECUTIVO DS
55,2,CATARINENSE,LEITO DS
55,2,CATARINENSE,CONV. AR+WC
57,2,UTIL,EXE
57,2,UTIL,S.LEI
57,2,UTIL,S.LEI
57,2,UTIL,S.LEI
57,2,UTIL,EXE
57,2,UTIL,S.LEI
57,2,UTIL,S.LEI
57,2,UTIL,CON
57,2,UTIL,LEITO
57,2,UTIL,LEITO
57,2,UTIL,EXE
57,2,UTIL,S.LEI
64,2,COMETA,CONV
68,2,CATARINENSE,EXECUTIVO DS
68,2,CATARINENSE,LEITO DS
68,2,CATARINENSE,CONV. AR+WC
1536,2,GARCIA,CONVENC.
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
1,3,COMETA,CONV
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
2,3,COMETA,LITOR
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
5,3,COMETA,CONV
57,3,COMETA,GTV EX.
57,3,COMETA,GTV 1.CLS
57,3,COMETA,CONV
57,3,COMETA,GTV EX.
57,3,COMETA,GTV 1.CLS
57,3,COMETA,CONV
57,3,COMETA,CONV
57,3,COMETA,GTV EX.
57,3,COMETA,GTV 1.CLS
57,3,COMETA,CONV
64,3,COMETA,CONV
64,3,GARDENIA,COMERCIAL
64,3,GARDENIA,COMERCIAL
68,3,CATARINENSE,CONV. AR+WC
68,3,CATARINENSE,CONV. AR+WC
1531,3,GARCIA,CONVENC.
1531,3,GARCIA,CONVENC.
1531,3,GARCIA,CONVENC.
1531,3,GARCIA,CONVENC.
1531,3,GARCIA,LEITO
1,5,RAPIDO RIBEIRAO,CONV
1,5,COMETA,CONV AR
1,5,RAPIDO RIBEIRAO,CONV
1,5,COMETA,CONV
