origin,destination
55,76
76,55
1,55
1,76
3,1
5,1
13,1
52,1
53,1
55,1
56,1
57,1
59,1
60,1
64,1
68,1
76,1
84,1
85,1
105,1
114,1
129,1
137,1
140,1
184,1
189,1
220,1
221,1
232,1
258,1
304,1
402,1
450,1
463,1
549,1
1006,1
1653,1
2652,1
3348,1
3,2
5,2
45,2
55,2
57,2
64,2
68,2
1536,2
1,3
2,3
5,3
57,3
64,3
68,3
1531,3
1,5
2,5
3,5
1531,5
1,7
57,7
1,13
57,17
57,19
64,19
57,23
64,23
57,24
68,24
55,25
57,28
64,29
57,30
64,30
57,40
3,45
1665,45
1665,46
1,52
1,53
1,55
2,55
30,55
57,55
68,55
105,55
114,55
154,55
184,55
207,55
220,55
450,55
1531,55
1536,55
1608,55
2427,55
2772,55
1,56
1,57
2,57
3,57
7,57
17,57
19,57
23,57
24,57
30,57
40,57
55,57
59,57
64,57
67,57
68,57
76,57
77,57
91,57
96,57
102,57
106,57
128,57
129,57
141,57
184,57
211,57
232,57
261,57
266,57
304,57
348,57
349,57
399,57
416,57
1197,57
1445,57
1505,57
1531,57
1653,57
1655,57
2242,57
2721,57
3356,57
1,59
57,59
76,59
258,59
1,60
1,64
2,64
3,64
19,64
30,64
55,64
57,64
76,64
106,64
129,64
232,64
258,64
416,64
1505,64
1653,64
57,67
1,68
2,68
3,68
24,68
55,68
57,68
220,68
1531,68
1536,68
57,69
57,72
1,76
3,76
57,76
64,76
398,76
57,77
76,77
82,77
232,77
428,77
508,77
1,82
77,82
83,82
399,82
549,82
678,82
803,82
1006,82
1058,82
1080,82
1,83
82,83
549,83
1006,83
1058,83
1,84
1,85
57,91
85,91
258,91
57,96
57,102
1,105
55,105
450,105
1531,105
1,106
57,106
64,106
1,114
55,114
57,128
1,129
57,129
64,129
258,129
1,137
1,140
57,140
57,141
57,148
1,152
1,154
55,154
1,162
57,162
1,168
1,173
1,184
55,184
57,184
68,184
1,189
1,207
2,207
55,207
57,207
57,211
1,217
1,220
3,220
55,220
68,220
450,220
1,221
1,232
57,232
64,232
77,232
258,232
1653,232
3304,232
1,258
64,258
1653,258
57,261
57,266
1,304
57,304
57,348
57,349
57,354
57,376
1,392
76,398
77,398
1,399
57,399
82,399
1,402
57,416
64,416
77,428
1006,438
1006,439
77,443
1,450
3,450
55,450
105,450
220,450
1,463
76,463
82,469
57,508
77,508
1006,508
1,549
77,549
82,549
439,549
82,678
82,766
1,803
82,803
83,932
1,1006
82,1006
438,1006
439,1006
82,1058
83,1058
82,1080
57,1187
57,1197
1,1445
57,1445
57,1467
1665,1503
1,1505
57,1505
64,1505
3,1531
5,1531
30,1531
55,1531
57,1531
68,1531
105,1531
1665,1531
3,1536
55,1536
1665,1536
55,1608
1665,1643
1,1653
57,1653
64,1653
232,1653
258,1653
57,1655
57,1656
45,1665
1531,1665
1536,1665
1643,1665
1873,1665
2427,1665
1665,1721
1665,1725
1665,1873
57,2242
55,2427
1665,2427
1,2481
1,2652
57,2721
55,2772
1665,2772
1,2876
1,3058
3,3149
1,3165
57,3212
1653,3221
1,3239
232,3304
1653,3313
1,3315
1,3348
57,3356
2,3425
